Quadgram,spanish,portugese
ti d,17,19
23 t,2,1
vaya,810,1
misc,13,2
ê fa,1,646
borc,3,5
iz-l,1,11
rrea,106,25
"au-,2,1
h i ,2,1
uerz,792,1
d: d,2,1
m — ,1,9
"páj,5,1
otás,4,9
euta,16,20
uccc,2,1
uu m,3,1
úa g,2,1
 212,1,3
re-l,1,11
 juc,1,2
la-m,1,4
ros",7,7
arsh,5,4
3 ou,1,3
a aa,20,16
fish,4,4
é (q,1,2
sdém,1,6
eçud,1,5
láus,7,3
l (d,1,2
"mi ,682,2
re ¡,2,1
 “ci,1,2
foní,32,1
dday,3,1
ns i,1,54
s$ 3,1,4
ué k,2,1
lóge,2,1
"lin,7,8
s 4:,9,1
cial,1222,1041
a-lh,1,125
7 es,3,4
1 qu,1,4
 lús,3,1
ejá-,1,4
igo(,1,2
ruca,18,17
 düs,2,1
í di,33,1
ls) ,1,2
¿ave,2,1
aota,2,1
é tá,2,2
2015,12,13
pate,119,76
os i,1537,1694
aori,5,4
ta 1,23,8
phaz,2,4
¿cal,6,1
eo ",2,1
 pés,44,329
irus,84,1
n eó,2,1
ãs e,1,42
puk ,2,1
twri,2,2
 lup,15,7
ón s,725,1
vosí,2,1
mau-,1,3
iel:,2,2
olgi,3,2
trba,2,1
 obj,360,419
épan,1,2
7h00,1,4
 au-,1,5
ruo ,23,3
¡gab,2,1
 xyz,4,3
0 ml,1,2
bocó,3,2
idóf,2,1
opog,4,2
s lê,1,8
ipi ,4,5
 82 ,1,2
á ur,1,7
seno,24,24
 arm,548,602
irel,3,3
huer,32,1
down,5,18
mbsh,1,2
rpai,3,1
uebi,1,3
pode,1480,9682
pédi,3,33
¡bue,49,1
mpa),1,2
ky; ,3,1
 off,2,6
p-up,2,1
vatu,1,5
dure,47,68
ã tí,1,2
 962,2,1
sói ,1,2
átom,53,46
ão-a,1,2
 hal,167,40
ema",3,2
u su,136,691
co' ,2,1
tás ,2236,432
pioc,3,4
zaçã,1,228
ešov,1,2
i-ét,1,2
epil,139,17
ml é,1,2
2:00,2,2
hire,5,1
 dra,77,80
6352,2,1
«¡bi,2,1
lemm,2,1
s-em,1,8
miah,1,2
aquá,1,44
sext,19,195
í ho,25,1
uxúr,1,5
zanj,23,1
¡rel,4,1
unío,6,1
xinó,1,2
de â,1,8
o mn,1,2
te-s,3,151
uma),1,2
ciel,477,1
ovo:,1,8
renq,5,11
ajri,3,1
ma-r,1,4
hiem,1,2
tá t,599,940
lóca,5,1
yero,150,1
les",11,3
fâni,1,2
"yum,5,4
; ac,4,6
disp,704,623
ó go,9,25
ham ,15,874
hol;,1,2
 cnt,2,1
me y,67,4
 350,7,4
em-e,1,14
 hof,1,3
étil,1,4
ô mi,1,2
rtén,30,1
guec,6,1
3 mo,2,2
1923,7,4
stau,357,401
uz e,64,40
chma,2,2
 byt,2,1
ompó,19,1
heck,3,14
"mik,7,6
mahm,2,1
 —pe,2,1
 eya,4,1
s hu,652,207
opo ,24,319
@ema,3,1
lá-b,1,5
vê d,1,11
ón m,434,1
só q,125,327
éctr,159,2
o: t,12,10
: ne,2,7
¡ser,12,1
etha,2,1
uz o,1,12
ormô,1,8
o— d,2,1
raná,3,4
g su,2,1
adeq,1,115
rrei,1,345
 7ª ,1,2
gua),1,2
ovee,37,1
"oca,2,1
acu ,1,2
x < ,1,2
vozi,1,7
l às,1,19
ssíl,1,6
derc,2,2
nhos,1,1045
fie ,1,58
s nu,1099,564
bê-l,1,21
cos),1,3
inút,121,113
yací,13,1
k fo,1,9
iobi,2,1
sang,450,454
ua-f,1,2
39 m,1,2
host,38,17
edír,13,1
"kos,2,2
ivo',1,3
«mar,4,1
ñaré,45,1
lmun,2,1
frox,1,2
h nu,1,2
kafk,3,1
uaeh,1,2
xúvi,1,2
lapu,2,5
y ec,39,1
ón j,28,1
¿uti,3,1
 hóq,1,11
sáns,2,1
úpia,1,3
emli,2,5
ealh,1,3
zimm,2,1
− x ,1,2
eçáv,1,2
nélo,3,2
 85%,1,2
ltat,5,2
ás –,1,2
nito,396,462
nspo,100,114
ue p,3413,2920
h cu,4,1
yahn,1,2
& si,2,1
5 úl,2,1
bant,9,11
oito,1,420
ère ,3,10
éeme,26,1
"suj,6,2
mé j,2,1
ír n,14,1
3 se,6,3
ugna,46,7
tasí,26,1
glat,171,169
rmen,441,196
pá f,2,1
né t,12,1
 átr,1,5
om s,2599,3120
abof,9,1
eo-o,1,2
a 'l,1,2
eve",3,4
acrô,1,2
nksy,1,2
"300,1,2
ridu,2,4
o cu,1795,946
mide,105,34
onsh,5,3
aim;,1,2
es √,2,1
lho",1,15
zęst,3,1
ódul,4,4
çã l,1,2
rión,33,1
nego,351,144
ja -,2,1
va v,61,285
occi,87,6
azte,42,1
r$ 9,1,2
¿rev,2,1
n as,455,6
ra 4,4,4
mpíd,6,1
te 8,3,2
o en,10747,2894
 vla,2,6
jo j,23,2
uffa,2,1
stái,328,1
n¡no,2,1
mizi,1,2
nvió,73,1
-123,2,2
éico,2,1
io d,1442,2026
rtún,1,15
niõe,1,89
rá —,2,1
do o,1,2
me g,2995,55
eji ,2,1
uí: ,3,1
to-a,2,8
ximo,356,694
tezc,10,1
a bó,3,4
0 cr,2,2
 264,2,2
rdes,210,242
enúl,7,8
déro,3,1
j"" ,2,1
stof,9,4
n ku,7,2
tíre,3,1
í má,17,1
; re,5,5
o md,1,2
oniu,1,2
 “te,2,1
ició,756,1
ehid,2,1
gawa,16,17
teod,6,5
dul ,6,1
ra n,1353,1888
aiso,2,1
(ama,2,1
l “-,1,2
bere,365,120
boy-,2,1
er d,1134,2059
e no,7296,3385
xos ,1,36
s; i,2,5
ua r,22,238
¡señ,5,1
no y,327,32
aíel,1,2
gruê,1,2
m-de,1,14
rior,474,512
i ip,3,1
war",1,2
egón,4,2
l it,25,4
aben,361,207
_ele,1,2
ugná,1,2
oriu,9,9
s bí,4,7
árpi,2,1
esfe,16,61
s e ,1,2
lhud,1,2
nund,89,59
"a h,5,25
lleó,3,1
iman,49,56
pete,298,264
ezcl,142,1
… qu,1,2
herv,32,1
"o é,3,1
zó c,61,1
nima,812,1025
rway,2,1
k pa,9,11
- ¡n,3,1
õro ,2,1
edad,1575,330
 (ac,1,3
twoo,2,1
õe p,1,3
to-r,1,3
 tij,58,33
"pad,11,3
¿qué,4149,1
nóxi,2,2
elgr,7,5
ohid,8,1
oga-,1,2
lle;,2,1
 182,5,7
ck v,1,2
ezab,26,1
 vân,1,6
rfir,11,6
sseá,1,2
 ínf,8,9
l ro,225,22
acé ,30,1
 dál,3,2
n nó,3,1
rnel,3,3
smol,2,17
trut,1,120
)los,2,1
i pi,100,51
 soj,12,14
ácor,5,1
 áli,2,15
etsk,2,3
rets,3,2
 ans,87,145
86 l,3,1
ex p,6,4
uade,83,2
-ida,1,4
uiné,2,4
- em,1,5
buem,1,11
zaci,257,3
¡ado,3,1
49 p,2,1
mé q,6,1
tal",10,5
se"",6,8
ha/c,2,1
ía 1,31,1
ónem,8,1
cómo,3091,8
l gp,2,1
 v d,2,1
zile,1,3
nfíb,1,3
ejo-,2,23
díae,2,1
uhul,1,2
ston,990,2124
ec p,2,5
f se,6,6
a: h,4,3
pouc,1,2645
m: m,1,4
pano,43,31
0:00,6,3
mefr,1,2
l po,1040,247
teru,5,5
ascâ,1,14
s (7,1,2
omot,10,18
seld,3,2
ő ru,2,1
oney,1,2
a: q,1,2
o su,2420,1906
¿pad,2,1
etía,14,2
ieno,12,3
zoma,3,1
oayu,5,1
m aq,1,2
cé n,2,1
e's ,1,2
ofo;,2,2
nsa-,1,4
"raf,3,1
j no,10,1
uála,2,1
rdva,2,36
zalb,4,1
sóla,2,1
 joe,20,97
oafi,3,1
utad,401,743
svet,1,2
y át,2,1
 ébr,1,6
n au,602,1
"nig,1,2
réct,6,1
 / m,1,60
tthe,2,4
lê v,1,2
rco:,2,1
11 c,2,2
ui l,9,60
ão);,1,3
iári,1,198
has:,1,7
xame,514,257
síte,9,1
xigé,1,4
oter,108,50
ão 1,1,15
scúl,33,1
aigo,47,4
; ne,1,11
go ô,1,2
933 ,3,1
spé ,2,1
um á,1,40
 20$,2,1
hu p,5,3
"fie,2,1
lute,11,34
cues,669,1
1-80,1,2
ido(,1,2
ncon,2449,3397
a-de,3,28
légi,2,105
"opa,1,4
epra,5,2
"nív,1,2
li 5,1,2
) e ,1,20
iz q,38,569
ue –,1,3
rimô,1,59
fari,7,503
a"¡d,2,1
lvés,4,1
só é,1,35
εu v,1,2
abo ,403,171
ó gl,1,2
1342,1,2
l 49,3,1
urgi,58,167
sa b,126,191
"-¿c,3,1
ê a ,1,215
ncip,670,382
– fu,1,2
adut,2,101
ki-t,2,1
uarã,1,9
soca,15,7
"orn,1,2
mous,5,14
micé,3,2
dre-,2,5
noic,25,13
""uh,1,2
: él,9,1
o hy,1,3
""¡m,22,1
jenk,2,2
rook,1,3
a⨯b ,1,2
+ y ,3,1
 gos,5,6991
udy),2,1
bióx,2,1
úrio,1,38
rict,77,2
¡min,2,1
"amb,27,42
''si,1,2
ifar,2,5
"-úl,3,1
oa á,1,3
 ráb,21,2
 ôni,1,828
moló,10,2
dmur,2,2
sgar,44,18
aum ,2,1
ção ,1,6156
üe p,2,1
tá v,254,471
tíli,1,4
0 má,3,1
ei"",2,13
eu r,1,940
á dr,2,10
xa p,2,34
uemó,47,1
heço,1,672
briã,1,5
yó j,4,1
rnét,3,3
z-mo,1,3
hérn,1,2
cio;,4,2
jo r,59,14
s wo,1,2
s wh,6,1
96 f,2,3
íele,1,2
losi,107,7
él; ,5,1
mpir,60,18
iruc,2,1
ofla,2,1
ó: s,2,1
ui f,11,106
donó,117,1
as¿q,2,1
rmie,213,1
hã n,1,70
ick-,2,1
pral,7,2
ún i,32,1
xa k,1,2
orés,8,1
decá,2,2
 nor,640,698
nurk,4,1
chi-,1,2
ón e,1910,2
abug,1,12
card,112,137
j aú,2,1
 ámb,12,1
ya; ,2,1
crié,9,1
piu-,1,5
'de ,1,3
tre-,4,100
uñón,5,1
úbri,6,1
 68 ,1,2
hitm,1,2
"ajn,1,2
báñe,2,1
 a q,816,570
unin,2,16
xang,2,12
dges,2,2
rath,2,1
eosu,2,1
s:nã,1,2
rcil,19,1
dcas,9,17
ivon,1,2
asár,7,1
mpud,5,2
21 7,2,1
gogl,4,1
56) ,2,1
ua i,43,555
de 2,114,283
gist,137,146
enbo,1,3
efad,1,7
-pun,2,1
poyé,5,1
 ¡si,26,1
byr ,2,1
figo,1,17
ea"",2,4
e 22,6,6
luev,308,1
(fel,1,2
chtc,7,13
rzo ,172,1
”a b,1,2
" an,1,10
(hoj,1,4
eil ,8,10
ñó c,20,1
chat,65,264
"tev,1,2
 -ma,3,1
pt e,2,2
emib,10,1
ábes,2,1
 -3),1,2
cell,22,2
rubé,8,1
ts c,3,3
saar,2,10
itím,1,2
- 3 ,1,2
elar,197,132
iyec,2,1
 som,905,1087
esor,1302,53
ga í,2,1
y gl,5,1
athy,11,10
apim,1,30
guze,1,2
ém ",1,4
tbox,2,1
nyan,3,3
 pèr,1,2
ah t,1,2
ca-e,2,1
ye t,7,1
lópo,7,5
rras,279,291
ade-,1,2
na-c,2,3
 áus,1,55
ltrá,2,1
ló s,56,5
sbof,1,2
univ,587,455
alat,6,12
cua",3,2
"pei,3,4
al m,1197,192
ã si,1,2
ídic,8,18
í to,138,3
igné,2,1
doçu,1,11
(= p,1,3
26/1,1,2
e mú,113,224
 air,436,33
gneo,2,1
talh,1,358
ng q,2,8
6 - ,3,3
numb,3,2
«una,2,1
na l,1223,470
rnos,1032,108
somn,32,1
ngav,1,10
unço,1,10
auçõ,1,8
tozo,2,4
ligo,17,304
 pdo,1,2
t st,2,3
ajón,57,1
dhir,3,1
r ma,640,2150
a ét,11,6
cíum,1,2
i 5 ,1,2
lzor,2,1
 sác,4,1
uy á,6,1
w já,1,2
huca,3,218
pién,29,1
"rié,2,1
tigo,856,864
¡gir,3,1
3 id,4,1
of i,1,4
norí,18,2
ruli,2,2
próp,2,920
ve 3,2,1
moss,2,25
r dú,1,21
¿vie,40,1
 ufe,2,1
é ép,2,2
/ fr,1,3
 2 u,1,2
uíst,4,52
xigo,3,1
ví f,2,1
e(a),1,6
cujá,1,14
vtm ,3,1
luíd,5,94
tá u,138,306
 boz,7,1
lu é,1,2
ligá,3,7
dó i,17,1
uz i,6,2
""16,2,1
"tam,41,27
sígu,31,1
ño n,147,1
slaw,2,2
ifia,2,1
or ',1,3
áspi,4,1
iwar,1,2
tagm,4,2
aryt,2,1
ú es,91,2
au b,1,2
emif,6,6
btil,1,3
sacc,7,1
ascé,2,2
300ª,1,2
iro’,1,2
ê ri,1,11
curv,42,49
""«a,4,1
onik,3,2
s' e,1,3
oma>,2,1
ožen,2,1
qual,2,3591
epri,121,88
rniz,29,22
nhel,37,1
s ip,2,1
ônsu,1,10
26 k,1,2
 rói,1,2
uérm,2,1
lela,14,14
csím,2,1
prín,72,95
pisé,7,1
endõ,1,3
"tal,61,111
t ta,3,5
rodé,3,1
layb,3,3
shum,2,1
í ge,3,1
ita),1,3
cosa,2229,9
m un,45,82
b le,5,2
 (is,1,4
e-av,1,2
z: “,1,3
p (r,1,2
icoa,9,1
o ix,3,3
runf,1,9
énsa,14,1
lo ô,1,3
amie,815,4
 4 p,5,1
«esa,3,1
aí-l,1,7
ximó,10,1
stás,2292,456
vono,1,2
hi h,4,3
aças,1,193
tião,1,2
ahán,5,1
fu q,1,2
oiri,4,1
zoad,1,2
edé ,172,1
 kra,3,3
sapo,143,263
utha,3,2
nn j,1,2
 pil,311,139
égas,1,4
 (ca,4,7
ía s,1857,1
e “a,3,3
n f3,3,1
 aí ,1,201
igón,12,1
ês; ,1,8
capé,6,1
azio,1,117
384 ,1,2
- de,4,8
va-e,1,3
"sol,182,14
0 ja,3,1
xa d,1,233
ios:,22,7
omet,978,1061
ineh,2,1
cebi,34,367
em ö,1,2
demó,15,6
pujó,23,1
ksil,9,1
"hat,1,3
ruta,577,345
i rá,1,19
porr,27,18
 sí ,560,1
tórg,2,1
eza’,1,2
puye,2,4
seu ,1,7028
eif ,2,1
d pa,241,6
"bož,2,1
nte),3,5
650 ,1,2
bi-m,1,3
s (p,4,3
om “,1,3
g qi,1,2
"" h,14,5
-se-,2,33
uage,3,179
ekhi,4,3
goa ,1,25
en-z,2,1
ha-m,1,13
gniç,1,3
sta;,3,10
sas",3,4
dbal,2,1
 “àq,1,2
o-do,1,6
ê"eu,1,2
órdi,7,48
do d,2,1
ióbi,1,2
da-r,1,15
asht,5,4
ya f,34,1
lvul,4,10
¿fin,3,1
ouxá,1,2
iscr,73,73
usái,2,1
oy l,360,1
enaz,164,3
u e-,3,31
cê n,1,3905
''"n,1,2
du m,1,2
"—er,2,1
ça t,1,107
nirl,5,1
dosi,38,1
bonp,1,2
roda,46,100
cile,164,5
s wa,10,3
i xi,1,2
za-o,1,3
elgu,24,1
/alt,2,1
ast-,1,4
neou,1,9
zhōu,2,1
qada,2,1
hiro,49,21
uind,7,234
r áu,1,3
rnac,150,151
nzer,3,1
uélv,52,1
ri s,15,7
wats,5,4
сada,2,1
eñas,187,1
tesm,1,3
alón,160,1
in-t,1,2
ck"",2,4
as â,1,3
zami,20,1
fava,1,17
da ḥ,2,1
mos ,1,2
) ou,1,4
—chi,2,1
uzei,1,15
ojia,1,2
ico”,2,1
elem,71,271
muts,4,1
 heu,4,2
4 y ,9,1
xa-s,1,6
zo –,1,2
drod,1,2
gúre,14,1
njou,2,15
so/a,1,4
vole,37,12
 naf,11,4
slim,4,2
/ te,1,25
emza,2,1
¡ima,2,1
"abb,2,1
tevi,4,3
lis",2,2
kupa,8,1
-""s,2,2
oscí,1,4
alís,28,13
y: a,1,2
óbre,3,2
nhéx,1,2
tron,215,192
dígr,4,2
mó é,2,1
dai-,1,12
smur,1,3
õe i,1,4
""¡o,11,1
4000,5,3
st é,1,11
edaj,2,1
con",3,1
lo-d,1,2
lo 2,12,2
taxa,2,55
; di,6,13
; fl,2,1
ú na,3,1
mata,598,471
riu ,1,631
ídeo,64,190
iã i,1,2
suam,1,6
-de ,1,7
cícu,2,1
ado»,4,1
-en ,3,1
 fez,1,2
or 2,11,9
mula,185,152
reex,6,2
lapo,5,1
– "",2,13
pa-m,1,7
cént,64,1
valc,1,2
feij,1,37
an b,646,15
 ély,2,1
cds ,7,15
tor ,844,725
onsi,1056,1609
pa-o,1,4
sez-,1,2
da 2,5,6
blez,17,1
ɣell,2,1
 bur,294,266
iuea,1,2
"eat,2,1
ue x,1,5
u: d,1,4
ão'',1,5
yico,3,1
bibl,394,319
y ji,8,1
 bic,575,544
“anq,1,2
aguç,1,28
id-a,1,2
funa,3,3
e na,1625,2603
¿mam,4,1
""ed,2,2
—¡ma,2,1
a-ta,3,4
uisp,1,2
teé ,5,1
"dua,1,23
 ado,458,1030
raz ,14,107
le 6,2,2
dipi,2,2
a ul,7,15
ça ",1,2
-ama,1,6
pé; ,1,3
"à i,1,4
je m,34,39
o ky,2,3
/ em,1,52
 'un,3,1
 meg,26,31
enzá,4,1
vénu,1,5
 dáf,1,3
opri,18,207
xean,1,2
ntis,199,382
el 1,82,1
ganí,3,1
f vi,1,3
ouho,2,2
lani,51,11
jí a,2,1
π at,1,2
ño s,202,1
ô ou,1,4
sbur,11,17
ncáv,1,4
ar ",16,17
urou,2,272
-vir,1,2
” ha,1,2
cliv,7,6
l hy,1,2
–pue,2,1
i mé,15,2
pacu,4,1
petú,2,1
igi",1,2
"¡pe,28,1
m sá,1,28
''já,1,2
ezon,12,2
ub d,49,1
eñen,7,1
ncá ,2,1
narg,1,6
epru,5,1
omao,2,1
gapu,23,17
ceó:,2,1
unni,2,1
nord,2,21
imo ,965,1275
iqui,484,51
rá 4,1,2
emãe,1,46
 erv,4,59
eais,1,138
m-ar,1,3
sca",2,2
rjud,48,1
mbás,3,4
μm d,2,1
– en,3,5
evag,1,168
iplo,44,87
ingm,2,2
obby,30,46
ícos,2,1
uíti,3,2
ã ex,1,4
dípt,3,1
arkk,7,4
tty",2,4
¡ah ,2,1
3 dí,2,1
rgs ,2,1
hová,6,1
' os,1,2
ew c,2,4
om-r,1,2
émpl,2,1
ahlo,2,3
1789,4,5
""s",1,4
didl,3,1
ábat,6,1
ú pl,1,2
ce 2,6,1
—rez,2,1
acem,123,7
fúne,7,8
1581,1,2
he c,469,235
ídio,1,155
ja á,1,3
‎faç,1,2
lirl,4,1
iwis,3,1
¿adi,4,1
ng p,15,12
aça-,1,51
ttan,2,3
 ifr,2,1
ns ú,1,2
ooti,9,1
iosí,9,2
dc r,1,2
: 03,1,2
¡nec,18,1
gorz,3,1
yam ,2,1
n --,2,1
ec; ,1,3
2 em,1,2
 alô,1,2
oile,3,2
490 ,2,2
mede,14,39
maxw,2,2
jé q,11,1
j da,3,2
inóq,1,6
"ĉi ,1,3
éz n,2,1
'vi ,1,4
i as,31,320
á ap,81,269
s 8%,1,2
 teb,17,2
uvas,64,155
-piq,1,2
"aos,1,27
surá,1,9
gí e,27,1
spel,17,153
acma,3,2
biab,10,1
45 l,2,1
zers,2,1
te” ,1,4
nggy,1,2
tiri,23,110
salô,1,3
 boê,1,2
masi,1841,113
ixos,1,48
lovê,1,5
-hún,2,3
ardâ,1,16
o dê,1,45
di d,5,53
um p,4,4796
ámon,88,2
erj ,2,1
 (da,2,9
b po,1,3
y fo,51,86
e hú,6,13
ey l,20,1
8 47,2,1
tole,157,116
ng);,2,1
rgac,2,1
oope,55,46
otál,2,1
veu-,1,18
"tê-,1,2
ói /,1,2
zata,4,2
joso,21,68
ia-h,2,3
tmóv,1,3
 13ª,1,2
cump,753,278
z bl,5,1
a ev,191,140
ó ia,1,2
riai,3,52
é wb,1,2
rch ,3,4
(gus,4,1
lhe ,1,3184
4) y,2,1
tach,34,11
güed,40,1
cê m,1,1152
«¡ah,3,1
nsér,2,1
saçã,1,85
lô à,1,2
afeí,9,9
usív,1,18
e e ,32,1578
orum,4,4
 'a',1,2
benz,9,12
e h8,1,2
-z d,2,1
ingá,1,2
ói a,1,19
áliz,4,1
á em,90,912
orab,185,2
lti ,2,2
vil;,1,2
ácit,7,3
ánsi,47,1
 min,1270,7371
ob l,8,4
nfé ,2,1
miré,72,1
 ¡do,3,1
to l,851,369
el"",8,14
tíve,1,143
mpô ,1,2
a 7 ,3,5
on"",10,6
ubor,14,41
iniv,1,2
nzhe,3,1
u ór,1,7
«pop,2,1
ubno,3,1
ueci,67,526
sí g,2,1
“fel,1,2
sore,174,175
rsó ,11,1
les/,1,12
7 da,1,4
alí ,135,3
lia-,1,4
fui ,648,1130
y án,2,1
lsas,64,36
d go,1,2
% ag,3,1
"""s,66,70
m om,1,17
rpue,4,1
deei,1,6
ts w,2,2
 “mu,3,2
e má,1232,84
rst ,2,1
ceio,1,79
jult,1,2
uble,12,2
żdy ,1,2
ri (,2,2
nius,1,2
ncid,348,233
o ai,21,292
ur g,3,1
hífe,1,2
-e-t,1,2
ualo,4,1
«arg,3,1
isóg,3,2
zuis,1,61
eo p,91,18
“eu ,1,6
(rep,1,2
meou,1,10
lyin,5,4
li u,1,43
p y ,5,1
dral,38,37
o"un,2,1
ncañ,2,1
ry q,301,277
yǔ y,2,1
xa a,1,70
 ‘bo,2,1
íval,5,1
obo:,1,2
é y ,93,1
eçás,1,2
rima,562,524
yats,3,1
di m,15,139
uska,5,2
dafi,2,2
fufu,2,1
40 p,5,6
onpa,2,3
¿pau,3,1
- il,1,2
¡neg,3,1
etán,5,1
ván ,12,1
vi-a,1,17
je n,48,127
ombó,10,1
rd d,12,5
go –,1,2
redn,1,2
glac,12,10
ys a,1,2
de w,47,23
sgre,5,10
áuda,2,1
o ás,3,12
/ es,1,44
pulm,40,49
s: c,10,11
 feá,1,2
à on,1,2
una:,3,1
rácn,7,1
xija,4,7
ul o,14,11
ô em,1,5
ísim,395,1
/ co,2,123
uto",3,3
rgo-,1,2
ltho,2,9
dafn,4,2
ufór,7,9
 “pr,2,3
é 26,1,2
irã ,1,13
1+i ,1,2
ué 3,3,1
ezae,2,1
cain,3,46
 ham,534,61
+20 ,2,1
ibro,2926,7
gozó,2,1
rorg,1,2
si n,1328,5
omon,16,12
ebat,103,82
nvun,1,2
[я р,1,3
0045,2,1
olid,83,126
etc ,2,3
ik"",1,2
 jeh,6,1
mbá-,1,2
arfi,11,18
-leã,1,12
alag,56,37
"jes,7,11
jóia,1,9
 9 o,1,2
“até,1,2
zúri,3,1
¡mat,5,1
0 am,1,2
c nu,2,2
bioi,2,1
um k,1,6
atat,114,111
íjat,21,1
de-n,2,10
e ár,101,78
"“eu,1,2
"obj,2,4
hó d,28,1
átod,2,1
árna,1,2
tes',2,2
xone,4,53
sémi,3,1
có; ,2,1
k la,9,2
npên,1,2
é in,94,650
ouis,8,18
m ko,1,16
 búl,13,58
vatt,1,2
ndív,1,13
nhk ,1,2
gaby,1,2
ibus,12,829
nks/,2,1
ésse,1,130
mo f,158,660
sim;,1,2
víva,2,1
ei d,3,1658
y pl,62,8
vesa,65,1
-bag,1,2
êm-m,1,4
-luv,1,3
'man,2,1
m-as,1,3
"poe,3,6
nong,2,3
37 p,2,1
"daf,3,1
laiá,1,2
anás,12,23
th"",4,4
lífe,6,6
ovei,1,231
" ou,1,22
 4 r,4,1
"ser,84,160
l es,5346,455
átua,1,76
ootb,5,3
/ ac,1,5
anic,62,22
nar ,1671,1487
iela,9,9
iu >,1,2
 7 f,1,2
¡cas,11,1
ursu,2,2
ártu,3,1
[que,1,2
olá-,1,6
asfa,9,9
7p /,2,1
nsam,247,423
6 ci,2,1
n jó,27,1
flig,26,17
e-bi,1,4
ro-c,2,2
 siv,2,1
sóto,2,6
áilo,1,5
e-me,1,805
ciu ,1,2
ho u,128,831
brió,323,1
e ef,35,37
díss,1,30
0 fa,2,2
go¿t,2,1
imét,9,6
b en,13,5
levi,617,416
“mal,2,2
n fe,226,10
apil,31,6
ra ß,2,3
ei; ,1,5
ódū",1,2
té g,4,4
ishr,2,1
 361,2,2
l aj,167,10
 $86,1,2
c-ta,3,1
a… e,1,2
ídia,1,22
1902,2,4
0 ab,2,1
1856,3,2
 osl,5,4
raxa,1,9
or) ,3,2
so z,3,3
¡cóm,52,1
"geo,11,9
e íl,1,6
pta ,67,14
 146,1,3
a yo,317,104
razi,2,65
álio,1,5
ipra,1,2
 839,2,2
 foy,1,2
ogui,6,5
ar n,454,2646
osfé,14,11
 amo,1071,1587
o ín,13,29
niue,2,5
48% ,1,2
icog,5,3
né b,4,1
ço r,1,18
 rên,1,2
rmáv,1,2
mo ú,12,3
bato,26,37
oo 1,1,4
ina',2,1
(186,1,2
ulfa,3,3
eca;,1,3
êm v,1,34
proç,1,2
atei,1,103
s rí,38,5
 coá,3,1
iban,77,8
 «ho,2,1
 ""é,11,94
s él,134,1
iyua,2,1
uirs,11,1
flúo,4,2
r 23,1,4
gaci,231,17
ucia,171,14
enua,34,15
i tú,67,1
""ev,3,6
ayor,1310,1
pars,94,4
»par,2,1
e ry,1,6
dida,796,614
uass,1,7
ãs d,1,29
ahwe,1,5
terr,1299,2127
ttle,8,6
ant",2,4
“poi,1,3
iaca,16,2
idõe,1,10
suni,2,4
ábad,171,175
relé,1,20
ma) ,1,2
magl,1,2
ahí;,3,1
nzúa,2,1
ifam,8,10
ns t,3,129
diçã,1,187
n bl,130,1
sh r,2,1
"rád,1,2
haco,3,7
s é:,1,3
sn't,2,1
 40),2,2
ófob,13,2
m pó,1,13
sk é,1,3
¿y c,33,1
nmen,128,1
rgab,9,1
aalt,2,2
acne,1,2
eu 2,1,5
eile,4,1
az –,1,2
¡móc,2,1
la i,2029,300
35 p,4,5
y sk,6,2
radl,9,2
z mi,191,154
é og,1,3
é a ,1202,3747
— sé,2,1
meij,3,1
siav,1,2
fnio,1,4
capr,30,33
– ba,1,3
"ves,4,3
69 a,1,2
coss,1,27
gua ,1480,1920
ádru,3,2
bok ,2,1
isaq,1,2
m vã,1,74
sket,2,1
(mai,1,3
tagr,7,20
ilás,1,11
 tam,1723,2071
ect ,1,2
cams,1,2
on x,3,1
sicó,36,21
e oj,67,1
ioge,4,1
m zo,1,27
u és,1,176
r áv,1,2
ruer,2,2
s 5 ,24,25
-len,1,2
75 7,2,1
de ú,17,12
0-82,1,2
muça,1,4
toña,13,1
hokk,47,16
omór,3,3
musc,17,17
mobi,16,47
teji,36,1
etts,3,4
ubí ,23,1
¿exa,5,1
de θ,1,2
ro-q,1,13
oyér,2,1
taxe,1,11
oei ,1,17
yata,5,4
lebi,1,2
rolo,54,101
lá d,93,120
4 no,1,4
tuér,1,2
v "",1,2
ew s,1,2
nezc,36,1
nsop,48,13
córs,1,3
à ru,1,8
páse,11,1
bônu,1,3
iesp,4,4
é mo,38,85
nfli,77,47
59; ,2,1
ls: ,2,1
adek,5,1
à im,1,7
"tio,1,3
corb,138,5
3 ó ,2,1
uiér,3,1
haic,2,10
ritr,3,2
pedé,2,1
a sy,3,2
ébé ,1,2
viad,107,106
owel,3,3
usch,2,2
 lyu,2,2
burd,22,1
ez 4,1,2
elís,2,52
 néf,1,2
osy ,1,2
 x t,1,2
áser,17,1
ulne,20,17
siqu,374,46
"pin,7,9
"—¿o,2,1
ú: d,1,2
m li,18,1003
u fr,76,205
ceti,66,13
n ló,4,1
"gad,1,2
zapa,544,1
jax ,1,5
stoy,5009,2
adío,2,1
aid ,3,5
turn,173,84
¿arr,5,1
sthe,3,4
"cra,1,2
r 35,4,3
añiz,2,1
lio ,114,108
"áfr,4,1
bo u,179,10
l pô,1,4
s' a,2,1
сepc,2,1
ajou,1,80
; b2,2,2
