Quadgram,polish,czech
— an,1,2
ri p,1,2
 kuč,1,2
i al,18,9
ę jo,5,1
ryna,29,1
pieć,5,1
féru,1,3
ywkę,4,1
ubý ,1,3
ejší,1,49
š i ,1,2
ašku,1,28
razn,2,8
ů vč,1,2
 uma,76,3
zakł,55,1
át e,1,2
á tm,1,6
chlu,10,8
acii,1,5
řu v,1,3
češk,1,2
pe t,2,5
mně ,1,82
erve,1,68
"fab,2,1
činů,1,6
zik ,14,1
 c p,2,1
koťa,1,3
mulu,2,1
ev š,1,2
"uma,4,1
b fi,2,1
zaws,741,1
ž šl,1,2
zezw,17,1
e mů,1,168
ebev,1,27
ž vý,1,2
swet,55,1
mádu,1,2
ávěr,1,14
głos,220,1
rýmk,1,2
hu č,1,13
niów,70,1
ýčem,1,2
hčuj,1,2
owiu,14,1
insy,11,1
ża w,12,1
ěž c,1,2
j dę,2,1
 cuc,3,1
ročí,1,6
ngon,1,2
káza,1,165
1 do,3,1
sh t,2,1
rgum,14,5
čaly,1,8
dívc,1,6
báko,1,3
ijou,1,3
z lá,1,6
skra,54,1
5 ra,2,1
kouz,1,15
ortů,1,2
vadl,1,29
iňuj,1,14
zahy,1,12
- „z,2,1
grób,8,1
" za,3,1
lupa,1,2
ął a,3,1
usíš,1,238
p no,3,1
eo o,2,1
čnic,1,5
asno,51,23
aču ,1,2
kio ,50,3
ciar,31,1
winc,5,1
widł,31,1
ne r,59,8
rlib,2,1
poet,39,1
ce f,7,2
ojęc,98,1
ć dź,9,1
zerv,1,15
ón d,1,2
zaor,4,1
lodí,1,3
pę o,3,1
ímo ,1,22
ź um,2,1
rupi,24,1
čast,1,229
botě,1,2
"mek,2,1
ał (,2,1
hest,3,2
- wi,6,1
kowr,4,1
típl,1,2
ntów,132,1
vrnk,1,2
ezčí,1,4
vdan,1,34
w źr,2,1
okoł,143,1
i hn,1,16
oux ,2,2
żkę”,2,1
ą cu,7,1
york,5,20
eháň,1,2
 wię,1038,1
nu e,2,3
řčík,1,3
ád f,1,9
á ch,1,21
zda-,1,2
hę l,5,1
hińs,85,1
ć uk,6,1
eg p,9,1
ucif,2,1
ądce,2,1
rmę ,8,1
ě tí,1,2
 bet,13,3
ektn,1,7
zaim,5,1
gham,2,1
araw,2,1
estu,59,108
60 l,5,2
ę pe,17,1
wnem,5,3
ov m,1,7
a ni,1479,89
eśmi,53,1
a sr,3,8
tupe,2,10
 pěn,1,3
lými,1,9
atyb,4,1
0 pą,2,1
mnik,13,1
lił ,145,1
 hyp,1,8
ůlka,1,5
mówe,3,1
4405,2,1
cone,22,1
resn,2,1
ąkną,6,1
k e-,1,2
ieny,2,1
yla ,46,493
rdź ,2,1
og s,2,1
dí ř,1,2
""ať,1,6
""gd,62,1
wyde,3,1
"koh,1,14
zren,1,2
ozał,2,1
egen,13,2
"jdu,1,12
możl,262,1
noel,4,1
óg f,2,1
ez ",2,1
atbo,1,3
ephe,1,2
t kv,1,9
carl,8,3
ošič,1,2
ajmy,149,1
ódku,8,1
k as,2,2
juli,21,11
če n,1,20
 biw,6,2
m'ow,20,1
cí p,1,28
wudz,38,1
tyli,10,2
niu-,2,1
orou,1,7
kubá,1,2
t rd,2,1
mice,2,2
za ż,16,1
g te,6,1
ib t,1,2
zuco,25,1
"sne,2,1
 w b,2,1
"joe,2,1
onoř,1,2
„mow,2,1
u lž,1,3
o no,158,56
s in,4,4
"zru,2,3
ysou,1,2
rę l,7,1
ň br,1,3
rz -,2,1
ko-h,2,2
ć np,2,1
im l,13,5
robě,1,13
eniz,2,1
ekl:,1,3
ocja,27,1
a pl,109,75
 syg,15,1
ěval,1,2
 poč,1,245
pójr,64,1
oule,1,8
lmeń,3,1
12:3,1,2
ekav,1,2
wyne,2,1
iż m,61,1
dé s,1,54
tamb,4,1
im r,69,2
r mů,1,2
rżon,20,1
 bój,25,1
maři,1,7
vyzá,1,2
spaß,1,2
akli,5,1
kubo,2,1
rdem,6,1
n vi,1,4
 nog,112,1
 gym,1,3
rysk,6,2
bezt,7,1
zajo,33,1
hust,16,15
tiło,2,1
""ra,7,7
hníz,1,8
i ir,5,1
ubní,1,5
a úv,1,3
narz,143,1
dę b,33,1
 urč,1,78
niec,424,1
pacz,58,1
a wr,34,1
suro,49,3
ża s,51,1
iż 7,2,1
cuca,1,2
deut,1,3
dě s,1,21
athé,1,4
zpec,2,1
l tě,1,16
"czą,3,1
wód ,38,1
edlí,1,5
zę l,16,1
uć k,2,1
u dí,1,19
0 ty,30,1
 wda,6,1
ygra,204,3
diči,1,17
auce,23,1
ąd e,4,1
eniv,1,3
yšla,1,4
ygać,3,1
ouzd,1,3
 nul,1,6
ačas,1,6
by r,38,14
s ge,1,2
ří v,1,30
ozch,8,3
 „qu,2,1
l tý,1,2
 míř,1,2
-3 s,2,1
i pe,27,46
h ut,2,2
- kr,4,1
vině,1,20
ékno,1,3
rajs,35,3
oit ,4,2
ę uc,176,1
next,1,3
t śc,3,1
étán,1,5
"kou,1,40
m am,12,3
š ih,1,3
re c,17,1
hubi,1,4
"brn,1,2
łupo,23,1
żoke,2,1
poté,1,13
wn z,2,1
ujas,1,3
oleń,2,1
ši h,1,3
obři,1,3
ptom,3,1
rtě ,1,5
rnia,32,1
tokó,2,1
ń dz,2,1
i/mu,2,1
melá,1,2
dt j,2,1
azdr,64,1
á de,1,14
ým r,1,25
k ph,2,1
czoś,14,1
ryże,4,1
kote,30,1
užij,1,14
oton,6,3
ád e,1,2
boha,34,122
ż kw,2,1
amec,1,4
i zr,55,19
ě zk,1,7
szta,81,2
chlé,2,44
ją 7,2,1
triu,3,2
kakt,2,3
tmy ,1,2
i mł,12,1
ro f,3,2
iodr,5,1
ávít,1,3
í ta,1,90
ejsu,2,1
"žer,1,2
ješ-,1,3
m il,4,1
ajut,2,1
moci,1,140
vče ,1,11
rolą,12,1
ysne,1,2
íh b,1,4
ruty,9,1
jské,1,5
s zt,1,3
otog,57,20
et o,18,22
 dmi,2,1
orbo,3,1
/ono,2,1
m km,1,2
ubez,24,2
vibr,1,3
vuje,1,56
prod,98,135
rozč,1,15
vový,1,4
leťt,1,2
obki,2,1
tkaw,2,1
šedo,1,2
ávna,1,2
aukc,5,1
elfí,1,7
uřít,1,5
eokr,2,1
ż że,4,1
wkac,3,1
sefů,1,2
ařil,1,51
gars,16,1
ě zř,1,3
pulo,4,3
ś og,4,1
 łęk,2,1
o as,4,13
asec,3,5
sat ,1,35
toci,9,1
pą a,2,1
635 ,2,1
kiho,1,2
ž dá,1,11
kiet,36,1
as g,31,1
ěc d,1,3
á vl,1,17
lvar,3,2
onde,4,1
lišo,1,3
k šť,1,5
smoc,2,1
 tin,3,1
awod,66,1
oś ś,3,1
á nů,1,2
m ed,5,1
ke j,6,1
ś ni,160,1
 mez,1,78
éhle,1,22
iznu,1,2
a ei,4,1
 „hr,2,1
kł w,6,1
lend,23,3
e wr,136,1
nes ,18,410
 sot,1,8
łzły,3,1
ysla,1,13
é be,1,7
věsi,1,7
roży,13,1
řecp,1,2
gway,2,1
lzle,1,2
rdin,1,24
hard,2,1
éčiv,1,3
n to,88,52
3 pr,3,3
v hř,1,3
"ast,1,2
ncis,11,1
cz w,26,1
dia ,50,5
cali,22,1
„ztr,1,2
ybał,2,1
"jí ,1,4
omoh,1,148
awas,2,2
hume,1,2
1 op,1,2
u by,173,61
ád v,1,39
ję g,22,1
v ch,1,10
dzkę,3,1
u"to,2,1
ní p,1,303
kapc,5,1
ło 6,5,1
koły,304,1
ansm,2,1
š ne,1,39
tą u,9,1
łąde,12,1
ż pi,38,1
órza,20,1
eň v,1,5
hlil,1,10
lýsk,1,3
buzo,1,2
” an,2,1
ędru,5,1
eveč,1,4
ens ,15,1
zavi,1,3
ozsm,3,1
 trą,8,1
stéh,1,2
ieśm,47,1
v lz,1,2
ąska,6,1
ik z,41,18
móre,6,1
rem”,2,1
lorz,9,1
om ć,2,1
eź p,10,1
láš ,1,43
ę cd,3,1
k-am,2,1
""ju,13,2
rtał,2,1
 mlz,1,3
ný i,1,5
udzy,7,1
ga 2,2,1
kářs,1,2
čuji,1,11
1 ro,7,1
eodz,3,1
mezi,1,87
ě as,1,5
j ow,2,1
snah,1,7
łyci,2,1
azad,1,11
klát,1,2
kaly,1,7
k ra,14,1
zyna,498,1
ří ř,1,3
""ca,3,1
nawe,247,1
oś d,151,1
 zón,1,2
 igi,2,1
l „a,1,2
owcy,32,1
ing ,19,5
kráj,1,22
o kr,160,58
nané,1,6
hovi,1,2
diíc,1,2
"zvy,1,5
slno,1,2
łwim,2,1
koją,5,1
ztus,4,1
ełkę,2,1
p vš,1,2
démo,1,5
więź,22,1
"spr,65,6
hmet,2,1
/mus,3,1
g mk,2,1
trav,1,35
evím,1,278
sytí,1,2
žáde,1,11
30 o,1,2
iměj,1,2
wnaj,9,1
'zad,2,1
azju,10,1
á vš,1,17
n wh,6,3
fat ,1,2
„nic,2,1
žitk,1,7
i ki,72,3
bklí,1,2
chor,380,6
ahně,1,4
o-it,1,2
m(st,2,1
rsza,97,1
ylec,36,1
j im,29,1
rter,13,1
í do,1,269
u pi,54,14
tí z,1,26
ci j,96,137
e ia,2,1
 uzg,7,1
g pe,2,1
aruč,1,4
ew m,7,1
síc ,1,53
ilbu,1,3
 nit,10,1
jątr,2,1
š ží,1,7
asví,1,2
 fra,2,1
djeź,2,1
""pr,150,64
í ší,1,3
a źr,5,1
obuv,1,2
a dy,29,1
świę,126,1
epło,36,1
fest,13,2
nc k,1,2
aon ,2,2
atią,2,1
síče,1,2
uto ,13,209
lmuj,2,2
vejm,1,7
ę łe,2,1
zult,11,3
"móg,40,1
rę w,35,1
iężo,3,1
nuka,2,1
"zpa,1,2
tyř ,1,5
ehel,1,2
 fňu,1,2
jęć ,11,1
w tk,2,1
ovdá,1,2
zakl,12,27
a tę,81,1
"zja,22,1
kříž,1,4
fikc,7,1
 era,2,1
ujis,1,9
t pá,1,13
t cz,164,1
indi,31,10
 lín,1,24
 vlk,1,20
ykut,2,1
m tv,1,69
 mył,3,1
u 50,2,1
dou ,1,172
"„od,1,2
ońcą,4,1
yvíj,1,5
rmít,1,2
ą mi,107,1
bawm,4,1
amít,1,4
dł z,106,1
l mn,5,22
 lpí,1,2
ę"ki,3,1
kacu,2,1
ekrá,1,9
niho,1,60
vkár,1,2
deje,1,2
zycí,1,6
"bo ,5,1
zign,27,5
ůjčk,1,5
kwat,5,1
d sa,13,2
hamb,14,6
spí ,1,36
míva,1,43
ře t,1,6
z vý,1,9
tie ,10,3
žádá,1,38
zaté,1,3
 uwz,2,1
beco,2,1
ąkow,4,1
ik ż,2,1
ze) ,2,1
ęgną,36,1
łe l,8,1
osev,2,1
o sá,1,20
taču,1,2
 la ,8,2
ndla,2,1
s sa,6,2
nguj,1,41
awsz,760,1
afkę,2,1
kypi,2,1
ć: j,2,1
yc m,2,1
žil ,1,173
pád ,1,2
kułó,4,1
eati,1,4
 nad,763,152
povy,1,3
 zew,104,1
íše ,1,53
erso,12,2
tujt,1,7
pepř,1,7
ętsz,2,1
v má,1,7
nęła,178,1
l čí,1,12
ł kł,10,1
kcik,2,1
 frá,1,7
h on,3,1
atty,3,1
zzą ,2,1
ttor,2,1
ndo ,6,2
k kw,6,1
łkow,89,1
ż dl,7,1
pąso,2,1
c sl,1,13
ouší,1,20
e úp,1,14
áším,1,52
on š,1,3
ól p,8,1
iori,1,9
rgro,3,1
n dá,1,6
 mną,243,1
duz ,1,2
ajeź,5,1
hś g,2,1
š js,1,3
gipc,11,1
čím ,1,152
isia,397,1
ci ú,1,2
‎sam,1,2
wa i,24,1
iadę,3,1
bela,2,1
odů ,1,4
"otw,15,1
j; v,1,2
biłb,34,1
7 li,2,1
zysu,10,1
bały,5,1
iná ,1,23
kron,2,2
ozgr,17,1
rdní,1,6
ctor,3,1
odmł,2,1
5 po,2,1
chž ,1,5
sežr,1,8
troc,438,190
 otě,1,3
 mąk,19,1
lohm,1,2
mber,2,1
ku d,85,24
aktó,10,1
ra u,11,10
ld t,2,3
ak ",4,1
ý an,1,5
l ze,2,27
vyhl,1,18
e ih,1,5
"pln,1,2
bi i,3,1
avli,1,2
mi f,9,19
depc,6,1
rgie,10,11
yuki,4,2
oś g,18,1
aros,4,45
weź ,70,1
snku,5,1
wsku,23,1
żyse,6,1
 afo,1,2
ěž r,1,2
skří,1,18
rán ,1,6
š je,1,50
goni,42,1
pizo,2,1
ng l,2,2
rcje,4,1
dona,6,6
ać „,2,1
duli,2,1
80 t,2,1
ecít,1,23
omáš,1,33
apík,1,13
wne:,2,1
ple ,7,3
kowi,171,1
piuj,4,1
 k c,1,3
vami,1,3
nzyn,20,1
zhas,1,27
ka f,20,4
ej h,29,9
ioró,4,1
trhu,1,4
i il,5,1
 - k,7,2
t fu,9,1
řela,1,47
jdi ,1,43
euil,2,1
unci,5,12
lbow,9,1
í vi,1,9
tami,118,6
jaśm,2,1
volu,1,17
dnoo,1,2
cenu,1,29
y dy,17,1
mą k,3,1
icke,2,1
łoco,3,1
b v ,1,2
nitu,30,1
erlí,1,5
koop,3,1
impu,3,1
j zá,1,10
adzą,28,1
í za,1,123
diso,14,5
""id,6,1
címu,1,3
15 r,4,1
ojro,1,3
 bib,113,4
"- c,2,1
 v n,1,217
ełka,15,1
em č,1,57
 7% ,2,1
ratw,2,1
 apl,21,4
m oš,1,10
płyt,48,1
rdá ,1,5
źć c,7,1
 edg,2,1
tknę,17,1
ež d,1,17
 auk,4,1
 wro,69,1
""śm,3,1
t tc,3,1
ę ed,6,1
"miz,1,2
mica,3,1
sobę,16,1
 dzw,102,1
"suk,3,1
irén,1,3
kodą,2,1
 hac,8,1
mvaj,1,8
uper,45,23
nědě,1,2
mohu,1,309
aběl,1,5
mógł,712,1
omkó,2,1
stém,1,24
namę,2,1
izná,1,11
"odt,2,4
eskr,1,4
 odě,1,4
dy'e,3,1
k ca,4,1
káři,1,2
anca,2,1
ý tř,1,4
íp n,1,6
ójno,4,1
unty,4,1
00 e,4,2
mý m,1,3
čce ,1,16
id s,2,2
ušky,1,19
hlem,1,3
iset,1,3
áva ,1,26
y vý,1,13
e; k,2,1
telk,70,96
sł m,6,1
omiń,2,1
 zbo,13,21
żerc,3,1
ozbr,6,7
k mě,1,20
pić),2,1
az z,103,1
aś d,8,1
m ły,4,1
zeż ,4,1
n „p,2,1
nehe,1,2
ď ke,1,4
bném,1,3
o fl,3,2
mba ,10,2
uliś,5,1
jków,4,1
asją,3,1
t rz,19,1
 łoż,3,1
ydol,2,1
iwę ,2,1
rotě,1,2
ul f,1,2
 żuż,2,1
aś g,6,1
furi,3,1
 újm,1,2
amop,3,1
buďt,1,25
nijc,11,1
yděd,1,3
wucy,2,1
eź r,3,1
po l,33,6
moag,2,1
ń le,6,1
vyuč,1,28
srok,6,1
am v,2,43
t ha,10,2
tem-,2,1
ołkn,5,1
wzgl,68,1
tl n,1,8
oďky,1,2
odźm,67,1
"por,55,13
 mra,1,27
rymi,47,1
acal,9,1
ipán,1,5
zu ł,2,1
serw,106,1
ffin,2,1
figu,8,4
dily,1,10
r má,1,13
"zwa,4,1
es n,24,98
y th,2,1
ávný,1,16
a ur,76,6
eban,6,1
ánil,1,55
łe z,25,1
stůl,1,69
á vá,1,23
řeb ,1,4
czb ,2,1
ócać,2,1
step,3,3
 bíd,1,7
zedw,10,1
zruč,1,5
 189,1,2
ujów,2,1
ławą,2,1
o ew,2,1
” oz,2,1
kyra,1,2
h 60,1,2
em l,107,46
m vl,1,25
ý vz,1,20
dł ś,5,1
ük j,1,2
esuw,2,1
skno,5,3
y wf,2,1
š"" ,1,2
ysko,28,6
nů a,1,4
řítí,1,5
lilo,1,11
sako,3,1
zypn,3,1
znej,83,3
oład,2,1
pijt,1,5
tchł,3,1
čumě,1,2
zním,1,4
33 l,3,2
mor",2,1
edoc,2,1
ext ,2,9
deza,3,1
sypc,2,1
” – ,12,1
edsz,12,1
amu ,6,7
otěš,1,19
u mi,98,50
opry,3,1
ped ,1,2
třím,1,5
 bes,4,2
láce,1,4
piso,2,19
nižu,1,4
t of,4,2
nářs,1,3
rłow,2,1
rz p,47,1
 elż,5,1
ędę ,375,1
 6 r,3,1
efar,2,1
ký s,1,32
ň um,1,2
še t,1,12
ycky,1,143
upím,1,27
áznů,1,2
wrac,180,1
lů p,1,3
py j,4,1
 kąt,12,1
lu y,2,1
lą h,2,1
maro,9,7
nę b,11,1
ijki,2,1
strą,43,1
uv v,1,2
nadm,22,3
ntni,12,1
adič,1,4
) de,2,1
rapn,1,5
ślub,88,1
bris,2,1
2 to,3,1
vběh,1,3
obji,1,2
vide,8,40
u ří,1,25
flek,5,2
zący,71,1
 oje,1,3
á ok,1,12
yvod,1,2
dą o,13,1
inży,17,1
a 33,2,1
važ ,1,3
 złe,114,1
wurd,1,2
rwan,26,1
hačů,1,2
żiha,2,1
esić,9,1
ił c,76,1
rotá,1,3
kong,13,5
e ři,1,12
oušk,1,64
"bav,1,3
it ž,1,14
 fou,1,7
ył z,206,1
ępek,3,1
ż ku,10,1
ep n,3,2
tchn,20,1
-30 ,2,1
umít,1,17
s 15,1,2
kepl,2,1
ślę ,55,1
étnu,1,2
gřen,1,2
repy,1,2
enos,10,51
hałe,135,1
(od ,2,1
hořl,1,2
ytaw,3,1
wift,2,1
jkał,2,1
áčou,1,3
ło c,112,1
siós,10,1
hie ,2,1
k of,2,2
lo"",1,3
ryjk,7,1
eň o,1,2
bilz,2,1
bí z,1,6
s pí,1,4
mgła,12,1
ev l,1,2
g is,6,1
dpła,2,1
"„gu,1,2
ersz,67,1
ě ri,1,2
 „ch,2,1
cejí,1,2
epią,3,1
 lež,1,56
cd i,2,1
 vra,1,59
l kř,1,9
stwy,4,1
1945,8,5
ž ve,1,22
d há,1,3
 an-,2,1
kání,1,40
flip,2,1
slzu,1,2
ůlky,1,2
je š,1,78
muso,3,1
j pe,16,34
wiol,5,1
s ba,10,2
wato,11,1
yj r,7,1
ózef,6,1
le d,116,78
 asi,2,69
omaž,1,3
o za,1023,239
ikdo,1,391
nítí,1,2
etli,8,7
obkó,4,1
„ach,2,1
zuli,30,2
żart,96,1
j wó,2,1
aelu,2,2
 koj,15,3
womb,3,1
łż r,2,1
ur t,4,1
eccy,3,1
wzię,65,1
ynen,11,1
y uj,8,2
ak ř,1,6
łyn ,7,1
47 u,3,1
"ran,9,2
rekc,1,2
ofą ,3,1
ellę,3,1
nobě,1,2
rofa,10,5
raču,1,15
pník,1,2
mýli,1,18
ykną,16,1
cenz,8,1
dzyw,15,1
il h,1,30
a zů,1,14
a ós,5,1
nieb,349,1
"""b,8,1
guni,5,1
apít,1,5
ndro,7,2
oros,42,4
uď o,1,6
wdaj,2,1
iszo,5,1
rdio,3,3
 'w ,2,1
"ama,3,1
50 p,3,1
eszl,35,1
l ża,2,1
ruzg,4,1
oicz,2,1
ymác,1,2
ro"c,2,1
ch g,46,3
ołż ,2,1
o kb,1,2
cudz,32,1
ochc,1,3
jběž,1,2
ezau,5,4
 15:,3,1
pu o,2,2
""ja,84,30
ogik,5,4
erii,35,5
s ty,2,4
łową,32,1
ll n,7,1
ežít,1,7
ě ji,1,16
ńczc,2,1
ligi,28,1
asni,4,12
rofe,44,21
ęp w,10,1
ál p,1,9
uši“,1,2
nuć ,2,1
dajc,26,1
wsi ,18,1
cht ,3,1
č ta,1,16
 czł,410,1
án p,1,8
""ru,2,3
ě no,1,24
o hu,1,21
š ut,1,2
ekąs,7,1
u dż,2,1
żabę,7,1
683 ,2,1
ky ř,1,5
adym,3,1
demn,17,1
ćmie,5,1
prše,1,121
rnam,2,1
loub,1,7
y 20,3,1
aglo,3,1
e je,3576,1406
ktuj,30,11
rosz,1144,1
takž,1,40
chi ,7,1
ruma,5,1
ym-j,2,1
brac,61,3
iąte,146,1
akeu,3,1
airf,1,2
łuku,2,1
usłu,10,1
ém n,1,17
hčím,1,2
waws,3,1
"nár,1,2
gnę ,6,1
en g,21,4
oukr,1,17
víra,1,14
kski,2,1
e žv,1,2
á my,1,14
jkąt,4,1
nnif,3,2
angp,3,1
amov,1,11
ndid,1,14
 o 1,29,3
mebl,30,1
ěka ,1,14
váři,1,12
asma,3,1
esza,81,1
nerv,1,30
 kaw,346,2
pěkn,1,46
afik,7,1
uraz,7,19
oleč,1,106
 ses,1,350
"w g,9,1
jmąd,6,1
acab,2,1
 iyo,2,1
ouku,1,4
ozmo,63,5
o żó,6,1
 ubo,22,4
'mos,2,1
łąki,3,1
zzar,2,1
pojů,1,2
rašo,1,2
orně,1,26
acel,1,11
e be,80,46
ž sp,1,13
u mn,39,10
re'a,3,1
nry ,3,3
šňůr,1,3
rlaj,2,1
akrá,1,50
otáp,1,7
íc e,1,2
é vz,1,15
á ru,1,6
eckt,1,2
 so ,1,2
yvst,1,2
hi z,5,1
daty,5,1
tuln,5,4
pisu,26,12
ke'u,2,1
czi",3,1
hagi,2,1
dnę ,9,1
kudn,14,1
dušš,1,11
issh,2,1
n ws,29,1
m zé,1,3
uły ,20,1
9-34,2,1
ą rz,44,1
tę k,169,1
ržov,1,31
ę bz,2,1
zyt ,26,1
usk ,2,1
ň "",1,2
 fak,78,17
l o ,23,99
d ča,1,12
 nyl,2,1
ące ,140,1
mž j,1,2
ad o,12,4
lky",1,2
stką,32,1
"zbý,1,6
2 kd,1,2
yryg,2,1
yž s,1,113
ckéh,1,12
poya,1,2
ehni,1,3
w 77,2,1
echy,24,31
sedu,1,2
wi z,54,1
hruš,1,12
erra,2,2
ěra ,1,3
ijte,1,8
eś 5,3,1
sonó,2,1
olot,136,1
eś j,165,1
ć zb,11,1
e dz,491,1
lucy,18,4
biga,2,1
erme,3,4
tišt,1,36
ugar,2,1
kroi,19,1
batk,5,1
łomy,3,1
wykw,5,1
ą bl,12,1
zsta,13,1
oňsk,1,5
eżeg,8,1
adý ,1,15
saný,1,4
shog,2,1
arok,4,3
ojet,1,8
a""",1,2
dysz,3,1
'a s,2,1
l"" ,4,1
dpis,63,7
ei c,2,1
yníc,1,2
sekt,6,2
umří,1,16
 důs,1,13
ž dn,1,4
 fac,69,27
"sku,5,11
ustě,1,4
'cat,1,2
cet ,16,87
inov,1,23
ia o,105,3
ko m,186,66
w mó,9,1
ępna,13,1
n ne,1,59
lním,1,12
é de,1,5
ná m,1,29
abší,1,4
"otr,4,4
héma,1,2
tožp,1,2
em ż,72,1
edii,9,2
ezec,1,2
ib m,1,5
lím ,1,140
tníh,1,15
orší,1,39
li a,21,19
i(ru,2,1
fi s,10,1
nowe,305,1
typa,2,1
łako,2,1
ództ,4,1
zioł,2,1
8 st,3,1
švýc,1,6
hnu ,1,8
izet,1,5
e 45,2,1
ylam,2,1
rove,1,29
ý mu,1,46
díro,1,2
ketb,1,9
- mo,7,4
cinę,6,1
""dz,35,1
avaz,1,11
emna,49,1
ácá ,1,2
bułk,8,1
vosl,1,10
tich,1,47
mnen,1,2
kruk,6,1
ři n,1,23
ulky,1,3
oč ř,1,2
skák,1,5
jati,1,5
bu f,1,2
yć o,74,1
j op,33,3
mará,1,69
ws 7,1,2
saže,1,5
jaje,32,1
są d,128,1
e-ta,2,1
 cze,981,1
ráli,1,104
n wę,3,1
 ‚ne,1,2
bą s,24,1
chtk,2,1
amět,1,11
s dw,5,1
 “ná,1,2
„muc,2,1
ivis,1,3
stii,15,1
bę o,5,1
m dv,1,45
obzi,2,1
er ś,3,1
 7 m,3,1
aple,3,4
ladě,1,20
dnio,110,1
rólk,2,1
ásly,1,5
żyłb,5,1
kiek,10,1
gani,116,8
d zw,5,1
itic,1,21
w łó,49,1
t hy,3,1
epsj,2,1
isaj,2,1
cą l,3,1
hem”,2,1
zuci,331,1
o be,66,28
orši,1,7
i sů,1,4
ozio,29,1
i va,1,25
 % p,1,2
dhi ,3,1
 šku,1,2
d pu,5,2
l vi,1,21
zęce,4,1
oł g,4,1
czyc,451,1
rmaf,1,2
ivne,1,2
t má,1,13
řate,1,4
book,22,16
ę gą,2,1
tupň,1,2
ů ve,1,4
lekl,1,4
iecu,37,1
ł un,5,1
u at,2,3
ndys,2,1
yk u,5,1
ferę,8,1
aśni,598,1
rażc,2,1
o 60,3,1
lenů,1,5
boti,1,2
""bł,4,1
ylet,9,2
ą wę,3,1
l tv,1,18
z me,17,3
spły,3,1
lasů,1,3
geom,4,2
szaj,55,1
ip j,4,1
bakt,6,6
j kł,9,1
růbě,1,5
 hai,4,1
ą: j,2,1
eade,3,1
zęt ,5,1
 dař,1,14
ď a ,1,5
ą żą,3,1
omoś,249,1
ápit,1,3
sent,2,1
ę wó,4,1
vířk,1,2
140 ,3,1
a) s,1,2
paso,23,4
ikła,7,1
ýstr,1,3
žka ,1,14
kluk,1,49
egdo,4,1
ur »,3,1
vílí,1,2
 zdy,4,1
imes,2,1
zhru,1,6
do ś,62,1
 col,10,1
"pók,9,1
50 c,4,1
ajma,1,2
marť,1,2
ooce,3,1
oozd,2,1
huch,2,1
nave,1,122
duj ,9,7
u an,23,25
avlé,1,2
órcz,3,1
ita ,19,11
ím o,1,72
čkos,1,4
bá s,1,7
řibl,1,18
gově,1,4
z ir,2,1
zesi,23,3
eć ś,4,1
głeś,38,1
 mac,60,2
flor,7,2
rsji,7,1
akze,2,1
ístk,1,11
igoc,2,1
 wów,5,1
myla,1,6
upew,34,1
yków,123,1
riel,17,8
bá t,1,2
"odm,7,11
u jd,1,6
hs’ó,2,1
áda ,1,126
zafu,1,2
ygma,2,1
míjí,1,2
hn p,7,3
nemn,1,2
výzk,1,7
í zi,1,10
cę u,31,1
téph,1,2
nses,2,1
dko ,84,1
zyjś,154,1
egań,3,1
toge,4,1
vo u,1,4
zský,1,8
ýsky,1,2
pijo,1,2
ubát,1,2
/'ni,2,1
oręc,18,1
15 m,5,1
błki,2,1
30 h,1,2
koch,585,1
ą zj,3,1
ol o,2,1
t vp,1,2
smit,52,8
elká,1,49
n pě,1,2
ezan,2,2
ynně,1,18
řída,1,16
aječ,1,3
étal,1,3
wyśw,10,1
asun,3,1
udeš,1,204
dryf,2,1
prož,1,7
ilve,1,4
sítě,1,2
ł uc,26,1
demo,54,14
jniż,4,1
dsti,1,3
oźna,7,1
s je,104,163
e wk,30,1
cik ,3,1
až v,1,15
ę ud,40,1
wyat,1,2
omes,1,2
ff p,2,1
oźne,2,1
ulli,2,1
tyzá,1,2
 ura,50,19
 cou,4,5
m a ,22,247
łobu,3,1
osyj,30,1
l ru,1,13
a fy,1,2
v cí,1,4
jaty,7,2
yj o,2,1
druż,76,1
y sc,10,5
 śpi,349,1
amba,20,2
enič,1,7
bo i,12,1
ětný,1,3
g wy,10,1
zstř,1,3
l la,2,9
šil ,1,44
luzi,3,3
ż ce,3,1
sand,9,4
ptyk,2,1
doci,13,1
l sz,5,1
acą ,20,1
szuk,377,1
zęsz,10,1
du-l,1,2
ětli,1,71
u zw,22,1
mu j,89,56
ławi,26,1
ałys,2,1
m vi,3,60
m ad,11,2
fą d,2,1
chlo,2,9
"a g,3,1
am o,2,1
h my,7,3
de s,7,143
iżaj,12,1
ażci,5,1
ži r,1,2
š čí,1,6
ny"s,2,1
iei ,3,1
ázi ,1,2
 red,6,1
rle ,1,2
h mu,7,17
věli,1,3
"w 2,3,1
spác,1,20
m vá,1,147
kové,1,136
lavá,1,15
zrnn,1,3
w sn,4,1
c id,3,1
dł m,62,1
péči,1,2
 pęt,3,1
lkém,1,8
żss ,2,1
uzsk,1,195
siéc,2,1
d bę,3,1
mtou,1,2
ajba,86,1
v so,1,21
 v z,1,63
le: ,1,2
lčen,1,5
ečír,1,25
yrzą,14,1
azny,9,1
ce u,15,51
— „m,1,2
rakł,10,1
vo ",1,5
ná a,1,17
rcić,3,1
"fah,2,1
é zí,1,4
ć: ",2,1
pówe,3,1
ge m,4,1
