Trigram,spanish,portugese
"sê,1,12
653,1,2
juj,1,2
»is,2,1
'90,2,1
ur-,3,2
aí ,42,409
eze,6,1745
láb,18,88
-¿u,3,1
kep,6,2
-iv,1,2
ugn,48,9
vel,1008,6664
“ó ,1,12
¡hm,3,1
goá,1,7
 ód,1,70
fts,3,2
raz,2302,1410
uq ,2,1
üil,2,1
sví,9,1
lo),4,5
 ác,88,59
ceo,46,32
lkm,2,1
114,1,3
ir:,15,8
í 1,2,1
pof,2,2
asj,2,1
ctá,89,6
ка ,1,2
inu,1302,1674
-ll,2,1
ke ,92,57
etê,2,59
z) ,2,5
ate,4245,3553
aw ,2,5
 d2,2,2
xue,2,2
“-u,1,3
m t,1478,9071
e 1,319,423
x"",3,3
lçu,1,2
dúj,2,1
m"",21,52
 en,54233,14096
gañ,362,1
:to,2,1
tp ,2,1
onp,2,3
lá-,1,33
ja:,3,3
uno,3997,554
udl,1,2
2 o,4,4
rup,405,422
reâ,1,2
ko ,163,101
$50,2,1
sa1,1,2
9 j,2,1
od ,20,17
lân,1,227
ás-,1,8
buñ,6,1
ríc,40,72
ó í,1,2
teh,8,1
543,3,3
nsõ,1,38
yén,14,1
 –n,2,1
él;,5,1
hyo,8,8
11:,4,5
cér,41,101
fag,33,22
uá ,8,2
ial,1908,1493
k 6,2,1
l w,22,4
º 1,1,4
" d,35,33
¿só,4,1
 -e,6,1
”vo,1,4
01 ,7,16
êm;,1,2
í r,38,3
ue;,2,3
va),2,2
-56,2,5
bie,6320,126
hni,4,2
ã (,1,3
cus,478,1382
ósc,16,10
agl,12,20
ab;,1,2
kci,17,1
mic,737,681
aen,114,53
a :,2,1
ã d,1,290
fóc,3,1
(oc,2,1
 10,1,2
pno,9,11
úda,107,12
yō ,2,1
unâ,1,5
i 3,5,7
ínf,8,9
juí,1,71
(mg,1,2
`no,2,1
u 6,2,9
e's,1,2
yaj,2,1
65 ,18,13
cky,5,8
à v,1,232
e n,12211,16373
ja;,3,6
eu;,1,14
kéf,2,1
 -1,4,6
¿de,963,1
 vã,1,872
ir-,1,212
¡vi,47,1
o f,1,2
 (=,1,11
 tê,1,1973
osá,4,2
 “i,4,6
z /,1,12
303,1,3
ui-,1,72
tém,49,194
sid,2557,2007
“¿e,2,1
ê j,1,1031
fe;,3,1
áan,2,1
riá,38,19
024,2,3
--t,2,1
565,1,3
-ve,8,45
8°c,1,3
—ll,2,1
csí,2,1
róx,552,956
ptr,2,4
auv,3,5
il-,3,4
»pa,2,1
325,1,2
º g,2,2
do/,2,1
áng,210,1
¿yo,19,1
187,7,17
"go,21,274
u 4,1,10
5h0,1,6
asa,10301,8112
kne,3,3
t”;,1,6
šov,1,2
jis,303,5
ioo,1,2
ói ,4,109
4gb,1,4
d (,5,3
eés,32,1
njó,3,1
jeq,3,1
ymr,1,2
¡sí,39,1
¡ps,2,1
ha”,1,3
¡ea,3,1
7/8,1,2
tut,199,118
epe,958,939
54),1,2
"\\,1,2
" u,3,10
 íb,40,1
yri,2,4
dam,1994,1512
or",33,33
 ña,23,1
ayd,5,1
l r,2989,170
goi,3,22
j o,2,1
áfn,1,7
l 3,21,1
ske,36,6
vát,18,1
mae,341,23
kkk,1,2
 pm,5,3
m-n,1,235
amu,102,69
5 o,1,3
ino,4612,2863
pún,4,3
)) ,1,2
kui,3,3
iób,1,2
yec,347,1
jaq,37,71
-cu,4,3
(or,2,1
ès ,2,1
 "e,1,2
¿tú,199,1
19h,1,4
vro,1,3142
bdu,24,13
 -u,4,1
riã,1,16
ibé,45,26
sin,4607,3022
 dw,2,2
cít,13,5
y g,622,62
yic,3,1
ufi,781,615
ixt,12,1
kuc,3,3
h: ,1,2
adw,2,3
ecô,1,2
d f,110,20
ilí,68,92
 sq,5,6
og ,13,8
lôn,1,68
) y,16,1
h ',2,1
ue),2,3
gró,133,4
00 ,438,373
d-l,2,1
ca",20,16
pót,28,58
nks,3,7
m <,1,4
¡cu,94,1
ysb,2,1
ônb,1,2
lzh,5,13
doq,22,1
ie-,4,18
más,13251,528
… v,1,2
 # ,1,3
m» ,3,1
ahw,1,5
""â,1,2
rg ,18,21
zeb,1,12
 < ,1,5
ciê,1,582
"aí,1,10
"ta,231,216
 eb,50,10
iça,1,322
éro,125,37
10%,7,10
mos,18895,21125
('o,1,2
s ¡,5,1
foi,3,8253
0 1,2,1
ebo,746,1047
elk,5,5
r w,46,23
r(a,1,2
tee,17,8
³ +,1,2
"ki,9,6
ay",5,4
4: ,2,2
 ja,2739,3855
uxí,1,33
¡tí,6,1
tax,246,95
¿lo,331,1
:35,2,3
iñá,3,1
lha,16,7655
 g7,4,3
hó ,326,1
df ,4,2
ús;,2,1
"[i,1,2
eór,16,25
ócc,1,2
kyp,16,37
nác,8,9
ê e,2,4208
902,2,4
 mi,19949,11984
o' ,8,9
o 0,6,4
á"e,2,1
roj,755,339
sox,2,2
 1x,1,3
łgo,2,1
 tm,1,2
nzō,1,2
z -,2,5
 –v,2,1
án”,2,1
á í,3,3
dez,305,1097
nax,9,5
cg ,2,2
pah,1,2
azí,4,8
°c ,2,5
ian,3205,3929
«em,4,1
mav,209,742
¿ a,3,1
den,5339,3910
/ –,1,2
n c,11924,216
byr,4,2
nyl,3,4
cm³,1,2
; ¿,12,1
ktr,2,1
lób,10,7
4 f,3,7
o <,2,1
rpô,1,2
feh,2,1
«co,3,2
00°,1,3
zaz,11,2
póp,2,1
mpo,7288,7970
ibs,2,1
suc,713,532
"st,10,12
ính,1,100
oag,5,4
az",2,5
mez,197,12
orú,2,1
cyc,2,2
 —y,2,1
 xu,2,1
sou,8,5616
jeç,1,39
íga,153,21
r"n,2,1
mif,10,11
# 3,1,2
ñor,649,1
lem,3573,3943
957,4,5
ú y,95,1
éos,3,1
x-u,1,2
ñaq,2,1
eim,9,318
afn,4,2
kit,6,8
êne,1,67
s r,4782,3790
a- ,8,1
– h,2,2
» s,5,1
éac,1,2
uié,2498,1
ee ,618,9
ío ,1125,5
gr ,2,1
"fo,8,225
% y,2,1
5-2,2,3
(sa,2,4
rút,3,3
 íl,1,11
dao,28,1
anĝ,1,4
"¡z,4,1
j q,30,1
rpa,91,39
eóg,4,7
aén,3,1
po”,4,4
x-",1,2
lóp,16,8
ébé,1,2
207,1,3
ij ,2,4
188,14,22
n-t,1,2
te;,46,70
ivy,3,1
 ik,5,6
¡ín,2,1
ged,66,12
2h3,1,50
ikt,6,2
húp,3,1
949,2,4
rah,30,31
¡há,5,1
méi,30,3
rri,2789,1525
uby,11,1
aal,7,9
tde,1,2
432,1,3
led,106,32
sro,4,5
olí,1181,870
d-p,2,1
ezó,391,1
¿ y,2,1
iaa,1,5
not,1021,1102
éle,30,17
be-,1,17
"át,3,2
xaç,1,5
nób,4,5
(16,1,3
é u,788,8606
le+,2,3
:"o,1,2
act,2479,306
íca,57,205
hi¿,2,1
imí,32,9
 el,1,3
hlí,2,2
nup,4,4
ñat,18,1
 'l,3,3
ody,3,5
orã,1,75
boê,1,2
—di,31,1
' y,5,1
rrê,1,25
jõe,1,6
nxu,1,29
lid,2759,1964
¿os,119,1
uho,2,2
da;,31,48
791,1,2
"«¿,103,1
) j,1,2
 3-,2,2
efs,3,1
d o,71,8
xx",2,1
vit,1215,588
çam,1,588
onq,86,155
ngs,8,13
o â,1,19
ool,75,254
shá,5,1
дь",2,1
º e,1,2
lax,63,114
iga,2379,4895
prz,2,2
) v,1,6
mac,780,775
boy,17,10
abu,1350,332
 aq,4553,7463
pê-,1,6
m 0,1,4
arz,73,12
ile,1672,772
121,3,4
ñái,4,1
98%,3,1
hew,3,5
hh",2,1
rkh,2,1
yuá,2,1
ãze,1,2
gir,509,988
zer,27,12402
châ,1,2
máf,83,29
 qd,1,2
2xy,2,2
tân,1,573
be;,2,4
uus,3,2
edm,11,3
geu,2,27
248,2,2
0º ,4,9
éce,4,1
uaw,1,3
rpl,24,25
dío,65,12
fyu,2,1
869,2,8
252,3,2
«oc,2,1
lre,357,5
ma>,2,1
cẽ ,1,3
(65,2,2
"cy,1,2
síl,25,63
-hú,2,3
bo;,1,2
—as,2,1
 e6,2,2
xív,1,35
nês,1,601
na ,31865,14886
páp,1,2
dái,43,1
epy,1,2
esç,1,26
"fâ,1,2
 ¡r,9,1
hne,4,5
çám,1,3
mug,31,10
efa,243,399
 es,97612,71546
 $5,3,1
mpf,2,3
ido,13915,9841
níe,4,1
aes,392,21
 éa,1,3
o¡t,2,1
ynã,1,2
(ho,1,5
mpó,29,3
тос,1,2
hmi,7,3
o"",326,316
-hy,2,2
vê-,1,451
éda,87,1
s a,1,3
i6 ,2,2
obt,263,168
ezí,1,5
ã s,1,110
zuk,17,13
6 t,6,5
8º ,1,2
689,4,2
ápp,2,1
árr,57,1
júg,1,3
iwo,1,2
¡dá,9,1
ra ,2,4
ngw,3,3
-11,2,2
skr,1,3
75º,1,2
x j,1,2
l /,1,19
é-l,1,3
"mk,1,2
esj,1,7
do“,1,2
a ú,741,901
v-2,2,1
ws ,13,20
dal,437,221
høi,3,1
waw,5,1
to”,1,5
no¿,2,1
aos,165,1140
»pu,2,1
ble,7505,1546
tfo,1,5
ufe,35,9
y; ,9,4
 éo,1,5
“el,3,4
’; ,1,2
ém:,1,2
 «d,10,4
bdi,18,31
imc,6,5
íoc,2,12
lji,1,2
ova,129,3093
p'a,4,1
 bó,5,16
'yo,2,1
 “h,2,2
cij,18,1
0 q,1,45
lmu,226,2
go\,1,2
éra,265,91
hca,1,5
(“p,1,3
i"e,1,2
"we,2,3
áji,1,2
emt,17,1
sij,11,2
827,1,2
piñ,84,1
ía",18,3
rpó,11,6
—vo,3,1
elm,17,700
e5 ,7,8
off,5,13
 ve,19181,17645
maw,1,2
šen,2,1
írl,46,1
zém,1,14
oz»,2,1
''e,2,9
ńst,2,1
saq,110,28
ñiz,2,1
yso,6,2
 ao,3,7794
id;,2,1
y u,2267,35
fei,89,3076
 ob,1923,1948
819,1,2
téj,5,1
pvc,2,1
097,1,2
zíe,1,2
rox,175,353
"qu,857,3755
km2,1,2
deu,108,4274
–pa,2,1
/7 ,1,2
¿ti,756,1
omh,2,1
për,2,1
ety,1,2
ían,1635,1
án:,4,1
9) ,3,3
dgi,2,3
tri,2290,2350
b c,14,37
ixi,24,55
d/(,2,1
aíz,69,32
dde,1,2
 'b,2,1
dju,29,3
fíd,1,2
03 ,1,6
á 2,3,14
-kl,2,1
 31,16,23
kef,4,2
232,2,2
3 ô,1,2
''¿,4,1
im ,129,3040
(fb,2,1
a f,7193,15844
f r,2,3
¿ll,68,1
edê,1,27
3 l,4,8
5 a,63,71
n) ,3,3
á k,2,3
(h1,2,1
trâ,1,80
heq,72,52
amw,1,2
nes,10188,2862
o-r,2,9
"gl,3,7
— u,2,16
 2p,2,1
tró,1012,118
híg,17,1
mbí,2,15
xpe,584,577
etó,134,50
o"l,2,1
s 5,59,53
b8 ,1,2
’aq,1,4
pvo,1,2
gbo,2,1
iác,3,3
udí,112,4
tio,581,508
'pu,2,1
dev,386,6847
exo,109,215
"tr,318,183
mbi,3433,465
dsb,1,2
yna,3,1
arr,4248,5392
ro…,2,1
010,21,20
sí–,2,1
 33,9,12
e-á,1,25
jóv,216,1
"—l,2,1
3-0,2,1
hum,1164,2417
so),4,4
iíd,1,4
apt,309,286
 qp,1,2
 e7,3,3
= x,2,3
ánc,138,2
) 4,1,2
2 f,3,8
kma,3,2
zái,4,1
'&',2,3
lón,492,12
a t,19847,14430
de),1,7
 uñ,96,1
 [t,2,1
892,1,3
cán,373,1
01",1,2
-lá,1,3
 2%,3,1
500,67,64
ság,2,15
-gr,1,9
190,18,32
úl ,29,5
"@",2,1
çua,2,2
rfi,157,95
»pr,3,1
v r,1,2
"as,105,886
auí,1,4
liá,10,49
/ à,1,20
-i”,1,2
n à,1,15
tyl,3,2
nin,1613,3937
pí ,53,1
rtm,2,3
рил,1,3
vc',1,2
eik,20,15
uju,7,1
(om,2,3
(pa,5,4
ris,2227,2464
xle,4,1
oét,14,18
uya,396,8
e ",205,255
nd-,1,5
/h ,4,5
 vó,10,242
tzt,11,1
"ér,13,3
дил,1,3
bes,2506,651
pçõ,1,62
uíb,3,2
bwe,2,1
oz",2,2
i-t,3,26
mał,2,1
​il,2,1
”fi,1,2
uck,16,11
nbe,6,7
uss,15,583
onô,1,82
"wo,3,2
so–,2,1
")",1,2
keá,2,1
tén,325,15
ó q,902,336
ray,204,12
úfl,5,1
hki,1,2
oíc,1,3
rih,7,1
¿fu,74,1
ek-,1,2
s¿c,2,1
tnó,3,1
56k,1,2
báj,16,1
ll ,142,112
rr¡,2,1
ufá,2,1
gip,207,11
iên,3,879
vix,1,3
 a8,4,3
aém,2,1
wie,3,1
ssó,1,28
"«i,1,2
¡qu,979,1
kru,1,3
'sá,1,2
te ,3,2
-o-,1,5
17:,4,2
hom,2881,2589
“-a,1,4
"cê,1,2
le),1,4
réo,1,4
"'o,1,2
fix,21,97
sía,162,12
líp,10,4
cza,1,6
– y,3,7
e â,1,11
uár,24,110
ir;,9,7
 μ ,5,1
"ru,14,6
eãe,1,6
bár,31,37
itu,1640,1193
":",4,2
us-,3,7
ácc,1,2
úa ,119,1
fia,554,1057
doh,2,1
maq,90,61
éil,2,1
«há,2,1
f e,27,21
lãn,1,2
–vo,2,1
hōu,2,1
kiy,4,2
orc,512,507
glú,4,9
ópr,1,919
"ho,389,283
ce),3,2
-d',1,9
eyc,1,2
nst,1461,1820
4 4,1,2
«¿d,22,1
 ót,1,340
5"",3,1
xão,1,165
g-h,2,2
 = ,3,14
uam,146,115
fob,34,22
e f,5146,15282
ola,3006,3460
–¡z,2,1
» p,5,2
gum,91,3623
""ä,2,1
v m,2,4
okí,2,1
á ú,4,12
ydé,2,1
«ho,4,1
lpu,8,4
oy;,5,1
or”,2,1
non,37,54
 oj,1017,3
fub,2,2
sve,63,33
 “o,2,13
olv,3763,959
«di,2,1
oxí,51,4
mol,706,434
: 5,1,2
guu,2,2
¡na,23,1
)lo,2,1
ŭig,1,2
/lo,2,1
faj,4,1
dám,30,1
úle,4,4
​ m,2,1
mck,1,2
baf,1,54
igê,1,202
rsr,1,6
rúy,2,1
laa,1,7
mác,2,49
tóx,21,9
eb;,2,1
2do,2,1
gtz,1,2
arę,4,3
v i,1,2
984,5,2
b d,67,15
952,5,3
48%,1,2
"út,2,1
) q,8,14
gdu,2,1
fáu,1,3
éei,2,1
éon,2,1
20%,10,7
 dú,2,303
—¿e,4,1
fbi,14,18
176,2,2
éso,19,1
poy,237,1
ieg,453,10
 6ª,1,2
aaf,2,1
—ex,14,1
12%,2,2
0x1,3,3
z r,52,82
ñis,11,1
olp,309,88
–co,2,1
wni,1,10
gm ,2,3
0-6,2,2
gôn,1,6
pir,707,624
s/a,2,1
ayé,7,1
rex,9,18
egô,1,2
íai,145,1
a t,1,3
gv ,2,1
2 4,3,2
f y,4,1
: o,15,143
sql,1,2
aph,5,8
iai,5,372
hoc,358,328
í d,499,73
ebl,845,27
hui,81,2
ali,6287,3714
ã o,1,42
sfé,19,47
497,2,1
 18,125,167
ffl,3,6
uup,1,3
fom,72,716
eu”,1,3
60 ,28,26
166,2,3
háf,1,5
zân,1,5
iml,1,3
o¿a,2,1
hos,2552,4224
mu",2,2
pef,17,10
jía,13,1
 cã,1,481
sya,8,2
upç,1,38
a-r,2,35
é 1,5,41
yla,116,484
mna,114,6
udw,9,4
rz ,3,1
bož,2,1
hle,10,9
acd,1,2
óru,3,9
'=',1,2
blé,108,1
969,9,10
éma,1,3
fís,197,213
ruê,1,2
zgó,4,1
 sè,1,2
3"",2,2
ain,96,4360
lá",4,2
 zo,391,279
 ap,5314,8080
rá ,4363,5070
rik,51,50
¿¡q,4,1
isõ,1,82
'el,3,3
éxt,4,1
r' ,3,4
ômu,1,18
x -,1,2
ñud,3,1
ssc,2,1
/to,1,3
jez,19,1
bói,1,3
elõ,1,7
¡bó,2,1
hd ,1,15
ya/,2,1
zee,2,1
rís,399,112
zig,12,20
loz,50,23
ísi,591,240
mós,56,3
óca,24,1
n63,2,2
t h,12,9
iqu,883,1706
vo—,2,1
n1),2,1
w g,2,1
9°c,2,1
páj,385,1
açu,1,68
:- ,1,3
pió,379,1
do),5,9
íz ,50,2
ápo,11,5
"dn,2,1
""5,1,3
l á,387,3
h h,13,4
 od,531,544
teó,72,20
o«¿,2,1
inf,1543,1472
ô b,1,5
fên,1,3
ão',1,7
 10,266,285
ezã,1,2
óva,2,1
(co,7,17
got,361,160
dôn,1,24
há-,1,89
rfú,2,2
egâ,1,13
omó,473,64
“ca,2,1
l b,2727,92
dom,918,717
áds,6,1
íbo,16,6
“tu,1,6
do ,54295,61917
y 8,7,1
 "",2752,3670
ier,21273,298
ue ,68111,73913
usg,6,17
cón,136,2
«me,9,1
yme,2,2
s"e,2,1
ta”,1,10
ebê,1,327
tgo,5,2
 {1,1,2
nug,1,2
…"q,2,1
uac,662,11
liê,1,4
o 1,102,94
üín,1,2
fíj,26,1
ótu,3,6
sep,582,305
uol,2,15
ha:,1,5
h45,1,6
alõ,1,14
déj,428,3
dâm,1,2
eña,1702,1
lfi,100,66
udm,3,2
já-,1,32
on:,37,3
pia,1461,804
a ô,1,5
zlo,100,3
888,7,8
el:,5,12
48 ,12,9
ñit,57,1
- l,10,2
yéi,2,1
tló,2,1
ojí,13,1
ral,2106,1505
“um,1,8
nú',2,1
073,2,1
uk ,3,3
pok,24,30
b8-,2,2
suá,2,53
óbu,9,7
 +4,3,1
use,659,690
“va,1,4
ue',2,1
0h3,1,3
 jú,20,118
us",3,12
cíf,99,90
609,2,1
(24,2,2
'; ,3,4
a？v,1,2
piq,14,60
ção,2,9588
ejé,341,1
tuq,1,2
'si,1,3
olô,1,77
–ca,2,1
râg,1,3
¡po,138,1
bow,6,8
igg,5,2
1"",1,2
ify,2,10
os»,6,2
¿ h,2,1
o7@,2,1
arv,47,124
¿op,2,1
etã,1,9
noé,27,31
ezn,4,1
3 m,22,16
f q,3,2
 90,36,34
 ¨n,2,1
zna,34,1
mko,1,2
"¡¡,8,1
ed',2,1
"ab,86,108
 «v,8,1
 vi,1,2
¿tu,116,1
bm ,3,3
tec,1244,3180
ça;,1,14
ônu,1,6
naá,8,1
y"",20,17
óbl,6,1
ue-,3,147
-ci,5,9
sma,962,1284
 xí,1,205
# 1,1,2
 km,18,17
áde,6,4
fs ,2,2
w c,4,16
 to,2,1
iu ,3,5368
 sc,57,49
bíe,1,3
ó ú,5,1
açã,1,6196
dí;,2,1
vam,1337,5416
eht,2,1
703,1,2
kub,4,3
yge,1,2
e(s,2,1
jua,302,34
epí,21,6
és ,4165,899
é; ,6,7
esc,10016,12395
coá,3,1
c r,5,7
 dã,1,2
cil,2654,2278
5 é,1,11
(ut,1,2
ptá,10,6
-17,1,3
v e,20,28
glu,20,7
634,2,2
iuo,2,1
ugs,2,4
1'7,3,1
3 k,5,1
 hø,3,1
nãe,1,2
 wb,1,2
"c",2,3
haa,2,1
tzk,2,2
oey,1,5
wán,8,1
cté,9,38
nót,25,10
986,5,2
628,2,1
m l,1556,3062
plá,209,87
ede,9076,1294
ído,979,477
yoh,2,1
«lo,9,1
»¿a,2,1
xo;,1,4
 a-,3,4
júp,24,77
xu ,1,2
-ou,2,2
na:,7,8
nke,12,5
¡zo,2,1
iz:,1,15
élt,17,2
álz,4,1
heo,10,4
ámb,42,1
ógo,2,4
tu¿,2,1
'wa,1,2
luq,46,5
awé,1,2
h z,2,1
lda,706,697
zói,1,2
lpe,482,464
lfn,1,4
 50,130,129
—ha,2,1
615,2,1
úma,3,1
n 6,12,3
m $,1,3
tte,74,65
ttg,1,2
 hp,3,2
xus,1,2
ré;,2,1
e5),2,2
moe,4,200
— 5,1,2
k m,15,12
 pp,2,1
"a",9,13
o-b,3,8
¿dó,1447,1
ci;,1,3
ápr,1,2
unu,5,9
duš,1,2
izo,1887,250
818,1,3
co",23,11
nty,2,1
daw,1,3
:in,2,1
a s,20724,19294
fúr,5,18
r¿p,2,1
tin,2060,6012
imã,1,49
dil,777,814
ph-,2,1
etl,1,3
è i,1,2
-sh,1,4
 5ª,2,1
ípr,6,19
«ya,15,1
öfi,2,1
ĝoj,1,3
míg,6,4
​​s,1,3
265,3,2
dak,6,5
ndé,232,2
óna,36,3
ige,1023,897
oix,2,1
jiw,1,2
t a,32,23
a-á,1,3
nna,88,93
136,1,5
""o,76,828
(bl,2,1
soj,12,14
ayc,2,1
"fá,4,6
30",2,1
 mu,1,2
rud,213,143
z —,2,4
os",67,47
lée,15,1
go ,12066,6293
 l’,1,4
"a:,2,1
buí,8,47
a μ,2,1
méj,13,1
«ro,2,1
rês,2,2013
ír ,341,1
gev,8,5
cá;,2,1
“nã,1,15
pís,12,7
l f,2956,579
edã,1,4
dot,209,232
é-r,1,3
"cã,1,4
)to,1,2
bra,4378,4996
aúp,2,1
117,2,2
ebs,1,4
lfl,2,1
ané,88,13
°f ,1,3
e 7,30,34
íru,2,104
 if,3,1
iu",2,8
eús,1,10
19%,2,1
ave,2131,3119
gió,596,1
721,2,1
um-,3,1
iur,4,10
úgu,5,2
eíz,1,2
aum,267,260
sèt,1,2
ały,2,3
toq,146,127
tis,1001,991
amc,1,2
peq,1151,998
mro,3,2
tow,9,4
i d,728,3897
u"",14,33
a"p,3,1
rg/,2,2
nla,128,91
 mô,1,5
lei,78,2698
í o,50,14
ar-,3,1129
cej,49,41
ó t,932,224
ft",2,2
imá,115,89
s;p,1,2
“su,1,2
zén,1,2
bbi,10,12
 en,2,3
dên,1,321
joe,26,151
2:0,2,2
"m ,2,1
"az,6,9
pi”,3,1
»"f,3,1
irú,6,1
oal,161,440
asá,56,4
se-,3,190
a– ,3,1
sós,2,41
t-p,1,3
shl,2,1
tát,50,112
w s,2,3
n-f,3,1
¡so,101,1
c n,12,19
odh,3,1
doc,813,451
ip-,3,2
"ry,2,2
pyk,1,2
oks,3,12
bõe,1,4
ós-,1,15
¿en,470,1
shh,5,2
n—",2,1
anj,1054,477
«¿h,12,1
-ão,1,12
eía,494,1
- e,25,58
ikk,8,3
võr,2,1
fêm,1,32
yó ,740,1
 qi,3,5
s¿p,2,1
1 °,1,2
-lé,2,2
"ić,1,2
uja,302,251
4 g,6,4
xit,441,40
ño;,8,1
acf,1,2
 cú,25,27
qüê,1,5
¿añ,2,1
 íc,4,9
st-,10,10
rcr,3,5
"k",1,4
(41,2,2
ivã,1,4
107,2,3
9 +,2,1
equ,2757,2692
z ú,2,2
í ú,2,1
nly,2,1
ácn,7,1
guj,159,1
m-l,1,81
osh,65,25
2 u,1,2
¡ad,25,1
uav,105,89
s-m,1,61
caô,1,4
uns,78,1487
egu,6684,6296
iù ,1,2
ísm,35,43
edú,4,1
gey,3,7
é 4,3,5
e¿s,2,1
là",1,2
nép,1,2
váb,7,1
ôno,1,28
nt",3,5
s)l,2,1
s-j,2,3
9 q,2,2
aue,5,5
yik,2,1
vu ,1,2
327,1,2
ahs,1,2
 –l,3,1
suh,3,1
r 8,2,6
o¡e,2,1
erd,8135,5832
bív,4,10
í y,174,1
ã-b,1,25
'ob,1,3
son,9638,1670
uzc,143,7
avi,1599,2687
ujo,322,185
gwo,5,1
un:,2,1
dsk,2,1
o¿h,2,1
hu ,14,7
goí,67,85
uāk,1,2
ar:,10,28
emâ,1,2
t c,38,32
ejo,5049,1209
¿ah,50,1
lyw,11,8
tar,15905,17196
uág,2,1
05",2,1
oz:,2,3
pa",2,2
»«p,2,1
eci,8266,11404
ure,265,691
21:,2,3
rèv,2,2
; v,12,61
3 e,20,18
oid,64,94
eôn,1,6
iau,8,12
y «,2,1
 6:,10,13
ã u,1,8
toh,4,1
cip,1020,785
aše,2,1
n y,1087,1
ccc,2,1
kei,19,17
o 7,3,10
 4),2,1
inn,115,23
b v,8,10
at-,1,4
 ji,157,61
r o,804,8491
vun,1,2
ō"",2,1
úve,1,10
gub,15,3
uša,1,2
cra,326,446
lvé,39,3
 nh,3,2
u/t,1,3
og",2,2
b 1,2,1
 lé,9,18
lir,1010,62
 fí,218,217
; é,14,49
ópe,38,42
a-t,6,187
- f,2,7
bdé,1,2
dri,439,358
mir,2566,1106
’ q,2,1
óga,3,1
cué,135,1
oy»,2,1
ópo,35,43
veç,1,3
ai-,2,108
a"e,3,1
 íe,3,1
o-v,4,30
cr7,3,1
 º ,2,1
bit,1613,537
áza,16,3
¿ec,8,1
(30,1,2
í c,480,34
= 1,1,2
oam,42,89
óqu,26,228
ês”,1,2
73 ,3,4
efu,102,63
írc,62,55
ltu,397,447
pty,3,1
4 h,26,17
3h ,1,2
– f,1,9
20:,2,1
m h,705,1436
ib",2,2
言った,2,1
«ge,2,1
99 ,20,6
8 i,2,1
evi,2036,2156
¡th,2,1
ry;,1,4
"-i,1,2
cœu,2,1
/de,3,1
eio,3,2933
¡tr,54,1
₂o ,1,2
 64,12,14
n-h,3,2
"¿q,1032,1
úfa,6,7
ádr,4,3
960,12,12
úrs,2,3
eat,276,179
ã-a,1,7
l 1,99,5
 zé,1,5
ell,16195,99
mph,3,2
ecu,1911,724
"; ,7,7
a-m,4,680
po ,1,3
idã,1,278
'ma,2,4
í’ ,3,1
s"b,1,2
"¡y,37,1
lcõ,1,13
n-v,2,1
y v,1029,119
ícl,7,2
ça),1,2
 ut,294,345
sfx,1,2
onê,1,375
a k,159,81
-id,1,4
ro;,19,38
kfa,3,1
siu,10,29
ogê,1,81
"bú,6,2
-re,6,20
ogo,182,2323
θ é,1,2
e ß,2,1
s-x,1,2
els,48,60
i s,1469,2069
x19,3,4
u b,519,1071
ugí,27,2
"vo,226,4621
qia,2,1
rr@,1,2
reé,90,1
nxo,1,13
""—,7,1
 «r,2,1
 ‘d,2,1
tux,2,1
cti,1282,66
ése,123,1
lôv,1,8
bno,3,1
b—;,3,1
irí,546,40
lro,2,10
ã m,1,98
e r,6342,4718
ñin,35,1
rós,28,40
97%,2,1
ú"",6,1
q u,2,1
“pr,2,3
al ,16040,7594
c d,22,12
»¿n,3,1
uz;,1,3
röd,2,3
ilà,1,2
ulz,21,1
x q,1,2
díc,92,96
 kg,3,9
miu,2,205
90º,2,2
'au,2,1
érq,3,1
vod,20,16
/ á,1,2
 eg,308,398
f f,5,7
966,2,2
r$4,2,1
em:,1,33
ir',1,2
sz ,3,1
goo,38,61
orj,19,51
êis,1,2
vuv,7,4
-ps,2,1
dôo,1,2
daz,106,8
4 p,7,11
víe,26,4
nju,204,216
-; ,1,2
6 o,3,3
ele,4478,35618
:o ,1,3
aot,3,1
'' ,9,27
ay:,2,1
 bú,97,73
éen,7,1
owl,4,4
¡añ,2,1
 sâ,1,9
sje,1,7
"“p,1,8
mån,2,1
ütz,3,1
ici,8162,3714
rch,470,54
 + ,8,6
-) ,2,1
iao,9,6
coz,8,700
e x,8,145
ddl,3,4
¿of,2,1
eme,3189,2018
ºf ,3,1
q c,1,3
 pf,1,6
; m,37,85
obl,2695,1490
 em,3480,21548
au",4,4
gní,55,53
ófr,1,2
jon,136,32
 e5,10,8
ãhá,1,2
xís,1,3
so ,8584,19679
lga,704,577
ilv,44,49
ahí,910,1
– d,3,15
'pi,2,1
rcí,18,156
 c ,9,16
yub,3,2
á $,1,2
»tr,2,1
 7:,9,5
dém,66,7
éth,2,2
úe ,13,2
brü,2,1
ñeó,4,1
»tu,3,1
díb,16,3
b) ,2,3
zé ,3,9
u:",1,2
 “¡,3,1
ld",1,2
 “ó,1,10
m 2,1,263
rtn,1,2
ity,8,17
% s,2,1
152,2,3
xau,1,77
ltr,104,175
“da,1,4
üém,3,1
uít,63,4
mél,9,2
ntr,10049,9039
n-j,1,2
bád,8,1
ĉi",1,4
ufr,370,34
uft,3,2
iví,271,58
rsê,1,4
joi,1,51
:"h,1,2
ãoz,1,81
(lo,4,1
xug,1,24
naj,139,4
